constituency_id,constituency_name,prs_size,wage_to_house_price,uc_housing,housing_perc_on_uc,total_hb_incl_social,majority,,
E14000663,Derby South,0.19,4.9,2430,0.28,8692,11248,E14000663,Derby South
E14000664,Derbyshire Dales,0.13,8.9,513,0.26,1996,14327,E14000664,Derbyshire Dales
E14000665,Devizes,0.19,10,1419,0.46,3103,21136,E14000665,Devizes
E14000666,Dewsbury,0.13,5.8,2369,0.41,5719,3321,E14000666,Dewsbury
E14000667,Don Valley,0.12,4.8,2106,0.43,4941,5169,E14000667,Don Valley
E14000668,Doncaster Central,0.18,5,3235,0.45,7184,10131,E14000668,Doncaster Central
E14000669,Doncaster North,0.14,4.3,2992,0.46,6564,14024,E14000669,Doncaster North
E14000670,Dover,0.17,7.6,2960,0.49,6004,6437,E14000670,Dover
E14000671,Dudley North,0.09,5.2,2502,0.44,5675,22,E14000671,Dudley North
E14000672,Dudley South,0.09,5.5,2046,0.46,4406,7730,E14000672,Dudley South
E14000673,Dulwich and West Norwood,0.24,13.8,3053,0.33,9238,28156,E14000673,Dulwich and West Norwood
E14000674,Ealing Central and Acton,0.34,16.4,2646,0.30,8949,13807,E14000674,Ealing Central and Acton
E14000675,Ealing North,0.22,13.7,2243,0.24,9339,19693,E14000675,Ealing North
E14000676,"Ealing, Southall",0.24,13.6,1877,0.25,7469,22090,E14000676,"Ealing, Southall"
E14000677,Easington,0.12,3.1,3298,0.45,7255,14892,E14000677,Easington
E14000678,East Devon,0.14,9.5,842,0.23,3600,8036,E14000678,East Devon
E14000679,East Ham,0.35,12.5,2327,0.17,13451,39883,E14000679,East Ham
E14000680,East Hampshire,0.13,11.2,538,0.23,2389,25852,E14000680,East Hampshire
E14000681,East Surrey,0.12,10.8,1042,0.29,3586,23914,E14000681,East Surrey
E14000682,East Worthing and Shoreham,0.14,10.6,1024,0.26,3901,5106,E14000682,East Worthing and Shoreham
E14000683,East Yorkshire,0.17,6.2,1543,0.36,4336,15006,E14000683,East Yorkshire
E14000684,Eastbourne,0.22,8.9,2692,0.38,7161,1609,E14000684,Eastbourne
E14000685,Eastleigh,0.13,9.3,1896,0.49,3891,14179,E14000685,Eastleigh
